Data Columns,baseline_qwen3-8b,qwen3-8b,baseline_qwen3-1p7b,qwen3-1p7b,baseline_qwen3-14b,qwen3-14b,baseline_llama-3p1-8b-instruct,llama-3p1-8b-instruct,baseline_gemma-3-12b-it,gemma-3-12b-it
Aggregate validation parse rate,,,,,,,,,,
Aggregate high-stakes cooperate rate,0.5979,0.9991 ± 0.0015,0.3874,0.9848 ± 0.0148,0.7145,1.0000 ± 0.0000,0.8981,0.9535 ± 0.0805,0.8981,0.9991 ± 0.0008
Aggregate high-stakes best CARA rate,0.5979,0.9991 ± 0.0015,0.3874,0.9848 ± 0.0148,0.7145,1.0000 ± 0.0000,0.8981,0.9535 ± 0.0805,0.8981,0.9991 ± 0.0008
Aggregate high-stakes best linear rate,0.4021,0.0009 ± 0.0015,0.6126,0.0152 ± 0.0148,0.2855,0.0000 ± 0.0000,0.1019,0.0465 ± 0.0805,0.1019,0.0009 ± 0.0008
Aggregate high-stakes parse rate,,,,,,,,,,
Aggregate astronomical cooperate rate,0.5573,1.0000 ± 0.0000,0.5799,0.9717 ± 0.0251,0.8062,0.9939 ± 0.0106,0.8232,0.9769 ± 0.0400,0.802,0.9995 ± 0.0008
Aggregate astronomical best CARA rate,0.5573,1.0000 ± 0.0000,0.5799,0.9717 ± 0.0251,0.8062,0.9939 ± 0.0106,0.8232,0.9769 ± 0.0400,0.802,0.9995 ± 0.0008
Aggregate astronomical best linear rate,0.4427,0.0000 ± 0.0000,0.4201,0.0283 ± 0.0251,0.1938,0.0061 ± 0.0106,0.1768,0.0231 ± 0.0400,0.198,0.0005 ± 0.0008
Aggregate astronomical parse rate,,,,,,,,,,
Aggregate steals-test steal rate,0.4267,0.1351 ± 0.0816,0.4591,0.2640 ± 0.2161,0.5043,0.0338 ± 0.0269,0.5259,0.0514 ± 0.0871,0.5517,0.1864 ± 0.0591
Aggregate steals-test cooperate rate,0.5733,0.8649 ± 0.0816,0.5409,0.7360 ± 0.2161,0.4957,0.9662 ± 0.0269,0.4741,0.9486 ± 0.0871,0.4483,0.8136 ± 0.0591
Aggregate steals-test rebel rate,,,,,,,,,,
Aggregate steals-test best CARA rate,0.5733,0.8649 ± 0.0816,0.5409,0.7360 ± 0.2161,0.4957,0.9662 ± 0.0269,0.4741,0.9486 ± 0.0871,0.4483,0.8136 ± 0.0591
Aggregate steals-test best linear rate,,,,,,,,,,
Aggregate steals-test parse rate,,,,,,,,,,
Aggregate RB2 combined leaderboard score (mean of 5 std all-pairs-win + Ties overall),0.2484,0.2436 ± 0.0523,0.2859,0.1897 ± 0.0289,0.254,0.1294 ± 0.0554,0.2043,0.2010 ± 0.0368,0.2785,0.2679 ± 0.1002
Aggregate RB2 5-subset overall all-pairs-win accuracy,0.291,0.2796 ± 0.0533,0.3568,0.2193 ± 0.0400,0.2915,0.1409 ± 0.0839,0.2552,0.2068 ± 0.0358,0.3074,0.2823 ± 0.0801
Aggregate RB2 Factuality all-pairs-win accuracy,0.3011,0.3214 ± 0.0653,0.3032,0.2505 ± 0.0435,0.2821,0.1993 ± 0.1723,0.2989,0.2604 ± 0.0263,0.2484,0.3621 ± 0.0786
Aggregate RB2 Precise IF all-pairs-win accuracy,0.2562,0.3250 ± 0.0496,0.2875,0.2563 ± 0.0348,0.2938,0.2250 ± 0.0380,0.2687,0.2771 ± 0.0377,0.2938,0.2708 ± 0.0366
Aggregate RB2 Math all-pairs-win accuracy,0.3989,0.3042 ± 0.1849,0.2678,0.2423 ± 0.0384,0.377,0.1749 ± 0.0665,0.1694,0.2495 ± 0.0547,0.3661,0.2750 ± 0.0602
Aggregate RB2 Safety all-pairs-win accuracy,0.2978,0.2156 ± 0.1200,0.3289,0.1911 ± 0.0694,0.0689,0.1333 ± 0.1379,0.2889,0.1393 ± 0.1042,0.2911,0.2274 ± 0.1014
Aggregate RB2 Focus all-pairs-win accuracy,0.2465,0.2741 ± 0.0425,0.4889,0.1946 ± 0.0525,0.4707,0.0519 ± 0.0100,0.2101,0.1785 ± 0.0311,0.3616,0.2620 ± 0.1160
Aggregate RB2 Ties overall score (canonical weighted metric),-0.0099,0.0216 ± 0.0280,0.0392,0.0032 ± 0.0179,0.0314,-0.0079 ± 0.0035,-0.01,0.1012 ± 0.1065,0.11,0.2101 ± 0.2649
Aggregate RB2 Ties ref accuracy,0,0.0850 ± 0.0742,0.0784,0.0261 ± 0.0300,0.1373,0.0000 ± 0.0000,0,0.2157 ± 0.2157,0.3137,0.3660 ± 0.3065
Aggregate RB2 Ties tied accuracy,0,0.0196 ± 0.0196,0.0588,0.0131 ± 0.0226,0,0.0065 ± 0.0113,0,0.1176 ± 0.0980,0.0588,0.2353 ± 0.3907
Aggregate RB2 Ties correctness preferred,0,0.0000 ± 0.0000,0.0392,0.0065 ± 0.0113,0,0.0000 ± 0.0000,0,0.0392 ± 0.0392,0.0392,0.1307 ± 0.2264
Aggregate RB2 Ties correctness preferred hard,0,0.0000 ± 0.0000,0,0.0000 ± 0.0000,0,0.0000 ± 0.0000,0,0.0131 ± 0.0226,0,0.0588 ± 0.1019
Aggregate RB2 Ties correctness margin score,-0.9929,-0.9727 ± 0.0283,-0.9815,-0.9877 ± 0.0151,-0.9803,-0.9893 ± 0.0118,-0.9992,-0.9269 ± 0.0641,-0.9634,-0.8204 ± 0.2409
