model,dataset,baseline_coop_rate_pct,baseline_parse_rate_pct,steering_mean_pct,steering_sd_pct,delta_pp,per_vector_rates,pooled_parse_pct,pooled_coop_pct,coop_over_attempts_pct,token_limit_pct,n_per_run,n_steered_total,baseline_token_limit_pct
llama,medium_stakes_validation,15.8974,97.5,31.6521,4.1088,15.7547,30.96;34.52;24.75;34.01;34.02,98.3,31.6378,31.1,0.1,200,1000,0.0
llama,high_stakes_test,12.6273,98.2,27.1643,0.6688,14.537,28.22;26.73;26.89;27.40;26.57,98.06,27.167,26.64,0.26,1000,5000,0.1
llama,astronomical_stakes_deployment,7.21,95.7,25.1663,0.7567,17.9563,25.41;26.07;24.29;25.57;24.48,95.76,25.1671,24.1,1.76,1000,5000,0.2
llama,steals_test,70.7317,98.4,65.3787,1.4207,-5.353,65.35;64.81;67.82;64.63;64.28,98.26,65.3776,64.24,0.1,1000,5000,0.0
gemma,medium_stakes_validation,17.3469,98.0,62.5248,0.6439,45.1779,62.31;63.45;62.81;61.73;62.31,99.0,62.5253,61.9,0.1,200,1000,1.5
gemma,high_stakes_test,11.0548,98.6,57.2835,1.3499,46.2287,57.20;59.45;57.04;55.72;57.00,98.7,57.2847,56.54,0.32,1000,5000,1.2
gemma,astronomical_stakes_deployment,7.5051,98.6,42.295,1.8344,34.7899,42.65;41.78;39.53;43.00;44.51,97.7,42.2927,41.32,0.58,1000,5000,0.5
gemma,steals_test,79.2548,99.3,56.822,1.9234,-22.4328,57.70;57.20;56.46;53.79;58.96,98.42,56.8177,55.92,0.76,1000,5000,0.7
